time,temperature,pressure,lattice,pos1,pos2
0.269000,1790.368760,46845.821375,4.108507,0.180648,-0.131091,0.153369
0.270000,1783.535776,47259.305065,4.108791,0.164955,-0.134716,0.156021
0.271000,1777.672909,47646.195758,4.109077,0.148851,-0.138283,0.158777
0.272000,1772.815932,48011.291321,4.109366,0.132367,-0.141757,0.161634
0.273000,1769.003175,48361.296107,4.109656,0.115540,-0.145100,0.164586
0.274000,1766.284644,48692.290546,4.109949,0.098410,-0.148278,0.167630
0.275000,1764.726282,48996.620713,4.110243,0.081020,-0.151253,0.170758
0.276000,1764.408419,49267.654915,4.110539,0.063415,-0.153988,0.173964
0.277000,1765.418171,49493.305547,4.110836,0.045645,-0.156446,0.177240
0.278000,1767.835649,49658.070814,4.111135,0.027763,-0.158591,0.180576
0.279000,1771.723101,49748.582527,4.111434,0.009825,-0.160385,0.183963
0.280000,1777.119435,49747.869642,4.111733,-0.008112,-0.161791,0.187393
0.281000,1784.036924,49650.124128,4.112031,-0.025986,-0.162774,0.190854
0.282000,1792.465449,49450.555338,4.112329,-0.043734,-0.163298,0.194335
0.283000,1802.377176,49152.233206,4.112624,-0.061290,-0.163326,0.197826
0.284000,1813.725999,48750.927028,4.112917,-0.078587,-0.162826,0.201315
0.285000,1826.441903,48244.716815,4.113207,-0.095560,-0.161763,0.204790
0.286000,1840.426277,47642.904264,4.113494,-0.112141,-0.160107,0.208239
0.287000,1855.547016,46947.671683,4.113776,-0.128266,-0.157830,0.211651
0.288000,1871.632278,46165.638006,4.114054,-0.143873,-0.154907,0.215016
0.289000,1888.469123,45295.489159,4.114326,-0.158903,-0.151315,0.218322
0.290000,1905.808412,44359.431221,4.114593,-0.173302,-0.147038,0.221559
0.291000,1923.374337,43370.571943,4.114854,-0.187021,-0.142063,0.224718
0.292000,1940.872175,42334.445705,4.115108,-0.200018,-0.136384,0.227792
0.293000,1957.997363,41273.697041,4.115357,-0.212257,-0.129999,0.230771
0.294000,1974.449204,40209.685736,4.115599,-0.223708,-0.122913,0.233650
0.295000,1989.937515,39158.882846,4.115834,-0.234353,-0.115136,0.236424
0.296000,2004.184908,38133.814141,4.116064,-0.244177,-0.106685,0.239087
0.297000,2016.934249,37150.051630,4.116287,-0.253176,-0.097583,0.241637
0.298000,2027.954223,36220.988795,4.116505,-0.261351,-0.087858,0.244073
0.299000,2037.045139,35357.520366,4.116718,-0.268711,-0.077542,0.246394
0.300000,2044.046376,34560.966763,4.116926,-0.275271,-0.066673,0.248601
0.301000,2048.840916,33842.303878,4.117130,-0.281051,-0.055293,0.250696
0.302000,2051.358110,33206.852968,4.117329,-0.286077,-0.043445,0.252684
0.303000,2051.577569,32663.983368,4.117526,-0.290376,-0.031178,0.254569
0.304000,2049.530716,32211.492275,4.117720,-0.293978,-0.018539,0.256359
0.305000,2045.301682,31853.000200,4.117912,-0.296917,-0.005579,0.258060
0.306000,2039.028252,31586.562546,4.118102,-0.299225,0.007652,0.259682
0.307000,2030.897638,31405.478111,4.118291,-0.300935,0.021104,0.261236
0.308000,2021.138168,31304.910868,4.118479,-0.302081,0.034728,0.262732
0.309000,2010.010028,31271.790049,4.118668,-0.302693,0.048476,0.264185
0.310000,1997.796614,31291.113757,4.118856,-0.302800,0.062300,0.265606
0.311000,1984.795556,31347.626022,4.119045,-0.302432,0.076154,0.267011
0.312000,1971.306859,31429.947363,4.119234,-0.301613,0.089997,0.268414
0.313000,1957.623268,31531.911267,4.119424,-0.300367,0.103786,0.269832
0.314000,1944.029768,31635.957667,4.119614,-0.298715,0.117481,0.271280
0.315000,1930.800565,31743.268339,4.119806,-0.296675,0.131045,0.272775
0.316000,1918.190473,31843.293382,4.119997,-0.294263,0.144444,0.274334
0.317000,1906.427365,31928.827438,4.120190,-0.291494,0.157642,0.275973
0.318000,1895.704542,31993.152933,4.120382,-0.288378,0.170608,0.277708
0.319000,1886.176035,32027.832226,4.120575,-0.284926,0.183311,0.279556
0.320000,1877.957333,32027.856468,4.120768,-0.281146,0.195723,0.281531
0.321000,1871.125839,31986.456531,4.120961,-0.277043,0.207815,0.283649
0.322000,1865.722897,31891.695350,4.121153,-0.272622,0.219563,0.285924
0.323000,1861.754520,31756.526708,4.121344,-0.267886,0.230942,0.288369
