time,temperature,pressure,lattice,pos1,pos2
0.243000,782.658789,13625.500671,4.067209,-0.247232,0.178050,0.024943
0.244000,781.348202,13529.516223,4.067290,-0.244692,0.179770,0.027731
0.245000,779.940546,13440.109441,4.067369,-0.241663,0.181313,0.030749
0.246000,778.488225,13358.175628,4.067449,-0.238150,0.182670,0.033978
0.247000,777.038810,13283.914307,4.067528,-0.234162,0.183835,0.037398
0.248000,775.634256,13215.522073,4.067606,-0.229710,0.184799,0.040987
0.249000,774.310168,13149.813702,4.067685,-0.224807,0.185556,0.044718
0.250000,773.095297,13087.240754,4.067762,-0.219468,0.186097,0.048565
0.251000,772.012257,13027.980179,4.067840,-0.213709,0.186417,0.052499
0.252000,771.077023,12971.141983,4.067917,-0.207550,0.186508,0.056491
0.253000,770.297091,12914.906127,4.067994,-0.201009,0.186363,0.060508
0.254000,769.671575,12859.283998,4.068070,-0.194107,0.185977,0.064521
0.255000,769.192527,12803.926103,4.068146,-0.186865,0.185343,0.068497
0.256000,768.846747,12750.029565,4.068222,-0.179306,0.184455,0.072404
0.257000,768.616794,12696.015909,4.068298,-0.171451,0.183307,0.076211
0.258000,768.482082,12639.362808,4.068373,-0.163323,0.181894,0.079887
0.259000,768.420948,12582.959483,4.068448,-0.154944,0.180212,0.083403
0.260000,768.412491,12524.526262,4.068522,-0.146338,0.178256,0.086730
0.261000,768.437732,12467.642596,4.068596,-0.137526,0.176021,0.089841
0.262000,768.479912,12409.270100,4.068670,-0.128529,0.173507,0.092711
0.263000,768.525960,12346.173479,4.068744,-0.119370,0.170709,0.095316
0.264000,768.567881,12280.849456,4.068817,-0.110068,0.167627,0.097634
0.265000,768.603350,12214.236707,4.068889,-0.100644,0.164261,0.099646
0.266000,768.635612,12142.633053,4.068962,-0.091115,0.160609,0.101334
0.267000,768.671558,12061.765769,4.069033,-0.081500,0.156673,0.102683
0.268000,768.721736,11976.274147,4.069105,-0.071816,0.152456,0.103681
0.269000,768.799986,11883.293364,4.069175,-0.062080,0.147959,0.104317
0.270000,768.922323,11785.631685,4.069245,-0.052306,0.143188,0.104584
0.271000,769.105035,11682.622478,4.069315,-0.042511,0.138147,0.104476
0.272000,769.362100,11573.526760,4.069384,-0.032707,0.132842,0.103990
0.273000,769.704337,11460.627828,4.069452,-0.022907,0.127280,0.103126
0.274000,770.139347,11345.683321,4.069519,-0.013125,0.121470,0.101884
0.275000,770.670021,11230.160772,4.069586,-0.003371,0.115420,0.100270
0.276000,771.293041,11114.036551,4.069652,0.006342,0.109140,0.098290
0.277000,771.999215,10998.596434,4.069718,0.016005,0.102641,0.095951
0.278000,772.773717,10888.078206,4.069783,0.025607,0.095935,0.093264
0.279000,773.596977,10784.356816,4.069847,0.035140,0.089034,0.090240
0.280000,774.444899,10690.764129,4.069910,0.044593,0.081952,0.086892
0.281000,775.288944,10609.107525,4.069973,0.053958,0.074702,0.083235
0.282000,776.097547,10541.679471,4.070036,0.063228,0.067298,0.079285
0.283000,776.838206,10487.874408,4.070099,0.072392,0.059755,0.075059
0.284000,777.479457,10450.948168,4.070161,0.081445,0.052089,0.070573
0.285000,777.992225,10432.289479,4.070223,0.090377,0.044313,0.065847
0.286000,778.350502,10431.365556,4.070285,0.099183,0.036445,0.060899
0.287000,778.531870,10446.479739,4.070347,0.107853,0.028500,0.055749
0.288000,778.518162,10477.468066,4.070409,0.116382,0.020492,0.050417
0.289000,778.296910,10527.050019,4.070472,0.124761,0.012439,0.044922
0.290000,777.861991,10596.786316,4.070535,0.132985,0.004355,0.039283
0.291000,777.212241,10682.687961,4.070599,0.141047,-0.003743,0.033522
0.292000,776.350437,10784.356676,4.070663,0.148940,-0.011841,0.027657
0.293000,775.282775,10899.362118,4.070728,0.156659,-0.019921,0.021707
0.294000,774.017632,11026.376480,4.070793,0.164196,-0.027970,0.015693
0.295000,772.565189,11165.877066,4.070860,0.171547,-0.035972,0.009631
0.296000,770.937733,11315.810628,4.070927,0.178705,-0.043911,0.003542
0.297000,769.148630,11471.461074,4.070995,0.185666,-0.051773,-0.002559
0.298000,767.211207,11631.670418,4.071065,0.192425,-0.059541,-0.008655
0.299000,765.139945,11791.972259,4.071135,0.198976,-0.067202,-0.014728
0.300000,762.952049,11952.695247,4.071206,0.205317,-0.074740,-0.020763
0.301000,760.667780,12114.394008,4.071278,0.211442,-0.082140,-0.026746
0.302000,758.309879,12275.151692,4.071351,0.217349,-0.089386,-0.032662
0.303000,755.904933,12428.846126,4.071425,0.223035,-0.096463,-0.038497
0.304000,753.484518,12576.593379,4.071500,0.228498,-0.103356,-0.044238
0.305000,751.084230,12718.474074,4.071576,0.233736,-0.110050,-0.049873
0.306000,748.743239,12850.556292,4.071652,0.238748,-0.116529,-0.055391
0.307000,746.503101,12973.041405,4.071729,0.243534,-0.122778,-0.060780
0.308000,744.407353,13083.970835,4.071807,0.248095,-0.128782,-0.066029
0.309000,742.500334,13179.576006,4.071886,0.252429,-0.134527,-0.071128
0.310000,740.823522,13256.828034,4.071964,0.256540,-0.139997,-0.076069
0.311000,739.413116,13315.694856,4.072044,0.260428,-0.145178,-0.080842
0.312000,738.299086,13356.931842,4.072123,0.264095,-0.150057,-0.085440
0.313000,737.502764,13378.496153,4.072203,0.267544,-0.154619,-0.089854
0.314000,737.035177,13377.918203,4.072283,0.270777,-0.158850,-0.094078
0.315000,736.896441,13356.902744,4.072362,0.273798,-0.162739,-0.098106
0.316000,737.074681,13317.508340,4.072441,0.276611,-0.166273,-0.101931
0.317000,737.546174,13260.195624,4.072520,0.279218,-0.169440,-0.105550
0.318000,738.276190,13187.781966,4.072599,0.281624,-0.172230,-0.108957
0.319000,739.219929,13102.507840,4.072677,0.283834,-0.174633,-0.112150
0.320000,740.324777,13005.094220,4.072754,0.285850,-0.176640,-0.115126
0.321000,741.532784,12898.188669,4.072831,0.287679,-0.178243,-0.117883
0.322000,742.783441,12786.042613,4.072907,0.289323,-0.179437,-0.120421
0.323000,744.016081,12670.934852,4.072983,0.290788,-0.180214,-0.122740
0.324000,745.173631,12551.833023,4.073057,0.292077,-0.180570,-0.124841
0.325000,746.204184,12435.150307,4.073131,0.293195,-0.180503,-0.126728
0.326000,747.061824,12320.538164,4.073205,0.294145,-0.180010,-0.128402
0.327000,747.709094,12208.327800,4.073277,0.294931,-0.179090,-0.129870
0.328000,748.117422,12102.925041,4.073349,0.295556,-0.177743,-0.131136
0.329000,748.269371,12006.858359,4.073421,0.296022,-0.175972,-0.132209
0.330000,748.159565,11919.918662,4.073492,0.296331,-0.173779,-0.133096
0.331000,747.793413,11841.498482,4.073562,0.296485,-0.171167,-0.133808
0.332000,747.186437,11771.716915,4.073633,0.296485,-0.168142,-0.134354
0.333000,746.363111,11707.470843,4.073702,0.296331,-0.164708,-0.134748
0.334000,745.355197,11649.724298,4.073772,0.296021,-0.160874,-0.135001
0.335000,744.202668,11599.638773,4.073841,0.295556,-0.156646,-0.135129
0.336000,742.952721,11555.966450,4.073910,0.294934,-0.152033,-0.135146
0.337000,741.655819,11518.136033,4.073978,0.294151,-0.147043,-0.135068
0.338000,740.363218,11484.182991,4.074047,0.293205,-0.141687,-0.134913
0.339000,739.125341,11453.085490,4.074115,0.292091,-0.135975,-0.134698
0.340000,737.990817,11422.144628,4.074183,0.290807,-0.129917,-0.134440
0.341000,737.003301,11391.199735,4.074251,0.289347,-0.123524,-0.134159
0.342000,736.199644,11361.098839,4.074318,0.287706,-0.116808,-0.133873
0.343000,735.610336,11329.045598,4.074386,0.285879,-0.109780,-0.133600
0.344000,735.258892,11295.446987,4.074453,0.283860,-0.102453,-0.133360
0.345000,735.162316,11259.642372,4.074520,0.281643,-0.094838,-0.133171
0.346000,735.330551,11222.952912,4.074587,0.279224,-0.086947,-0.133051
0.347000,735.765247,11185.496477,4.074654,0.276597,-0.078792,-0.133017
0.348000,736.461788,11146.668171,4.074720,0.273756,-0.070386,-0.133086
0.349000,737.410537,11106.134636,4.074786,0.270696,-0.061739,-0.133274
0.350000,738.595665,11064.688988,4.074852,0.267415,-0.052865,-0.133596
0.351000,739.996271,11020.782138,4.074918,0.263908,-0.043774,-0.134064
0.352000,741.588437,10976.750520,4.074983,0.260172,-0.034479,-0.134690
0.353000,743.346054,10935.257431,4.075048,0.256206,-0.024992,-0.135486
0.354000,745.241673,10894.385538,4.075113,0.252008,-0.015323,-0.136461
0.355000,747.247854,10850.056542,4.075178,0.247580,-0.005486,-0.137620
0.356000,749.337786,10807.711832,4.075242,0.242920,0.004510,-0.138971
0.357000,751.485486,10766.694717,4.075306,0.238034,0.014651,-0.140515
0.358000,753.666668,10724.856459,4.075370,0.232923,0.024926,-0.142256
0.359000,755.860541,10684.528174,4.075434,0.227592,0.035323,-0.144192
0.360000,758.049808,10643.885948,4.075497,0.222049,0.045830,-0.146321
0.361000,760.218682,10599.046064,4.075560,0.216300,0.056435,-0.148640
0.362000,762.353038,10550.007784,4.075623,0.210353,0.067126,-0.151143
0.363000,764.441047,10497.248447,4.075686,0.204218,0.077889,-0.153823
0.364000,766.471895,10438.715287,4.075748,0.197906,0.088713,-0.156671
0.365000,768.434307,10375.771061,4.075810,0.191428,0.099585,-0.159677
0.366000,770.315216,10305.503334,4.075871,0.184797,0.110490,-0.162830
0.367000,772.099744,10230.733415,4.075932,0.178026,0.121416,-0.166117
0.368000,773.771537,10151.712833,4.075993,0.171128,0.132349,-0.169525
0.369000,775.311654,10070.855145,4.076053,0.164120,0.143274,-0.173039
0.370000,776.699241,9987.538512,4.076112,0.157015,0.154178,-0.176646
0.371000,777.913164,9906.765736,4.076171,0.149830,0.165046,-0.180328
0.372000,778.932083,9831.130255,4.076230,0.142581,0.175863,-0.184072
0.373000,779.735873,9760.943546,4.076288,0.135283,0.186613,-0.187861
0.374000,780.307464,9698.575883,4.076346,0.127955,0.197282,-0.191679
