time,q1,q2,q3,Ekin,Epot,Etot
0.037800,-0.010664,0.021618,0.093190,0.147738,0.307812,0.455550
0.037900,-0.010361,0.020347,0.093841,0.138767,0.316787,0.455554
0.038000,-0.010040,0.019110,0.094448,0.129726,0.325833,0.455559
0.038100,-0.009701,0.017910,0.095010,0.120684,0.334879,0.455563
0.038200,-0.009345,0.016750,0.095525,0.111713,0.343854,0.455568
0.038300,-0.008974,0.015632,0.095993,0.102889,0.352684,0.455572
0.038400,-0.008588,0.014559,0.096412,0.094284,0.361293,0.455577
0.038500,-0.008188,0.013533,0.096782,0.085974,0.369608,0.455582
0.038600,-0.007775,0.012556,0.097102,0.078033,0.377553,0.455586
0.038700,-0.007349,0.011631,0.097371,0.070535,0.385056,0.455591
0.038800,-0.006912,0.010760,0.097589,0.063551,0.392045,0.455595
0.038900,-0.006465,0.009944,0.097754,0.057149,0.398450,0.455599
